Date,S&P 500,% of S&P 500 members above their 200 dma
10/15/1990,303.23,17.95
10/16/1990,298.92,16.5
10/17/1990,298.76,17.04
10/18/1990,305.74,19.07
10/19/1990,312.48,22.72
10/22/1990,314.76,24.59
10/23/1990,312.36,23.33
10/24/1990,312.6,23.58
10/25/1990,310.17,22.72
10/26/1990,304.71,20.28
10/29/1990,301.88,19.27
10/30/1990,304.06,19.88
10/31/1990,304,20.28
11/1/1990,307.02,22.72
11/2/1990,311.85,25.96
11/5/1990,314.59,26.83
11/6/1990,311.62,25.76
11/7/1990,306.01,22.06
11/8/1990,307.61,23.89
11/9/1990,313.74,27.13
11/12/1990,319.48,29.82
11/13/1990,317.67,28.54
11/14/1990,320.4,30.02
11/15/1990,317.02,29.35
11/16/1990,317.12,29.15
11/19/1990,319.34,31.38
11/20/1990,315.31,29.15
11/21/1990,316.03,30.16
11/23/1990,315.1,28.54
11/26/1990,316.51,29.96
11/27/1990,318.1,32.19
11/28/1990,317.95,31.98
11/29/1990,316.42,30.57
11/30/1990,322.22,35.43
12/3/1990,324.1,37.04
12/4/1990,326.35,38.87
12/5/1990,329.92,41.99
12/6/1990,329.07,41.58
12/7/1990,327.75,40
12/10/1990,328.89,41.41
12/11/1990,326.44,38.38
12/12/1990,330.19,41.62
12/13/1990,329.34,40.4
12/14/1990,326.82,38.99
12/17/1990,326.02,37.85
12/18/1990,330.05,41.21
12/19/1990,330.2,42.83
12/20/1990,330.12,42.63
12/21/1990,331.75,44.65
12/24/1990,329.9,43.03
12/26/1990,330.85,44.22
12/27/1990,328.29,42.22
12/28/1990,328.72,42.02
12/31/1990,330.22,44.15
1/2/1991,326.45,42.05
1/3/1991,321.91,37.42
1/4/1991,321,37.02
1/7/1991,315.44,33.2
1/8/1991,314.9,31.39
1/9/1991,311.49,28.37
1/10/1991,314.53,31.45
1/11/1991,315.23,32.86
1/14/1991,312.49,30.18
1/15/1991,313.73,30.38
1/16/1991,316.17,30.99
1/17/1991,327.97,43.66
1/18/1991,332.23,48.89
1/21/1991,331.06,49.09
1/22/1991,328.31,46.48
1/23/1991,330.21,47.48
1/24/1991,334.78,51.51
1/25/1991,336.07,54.33
1/28/1991,336.03,54.73
1/29/1991,335.84,55.53
1/30/1991,340.91,60.69
1/31/1991,343.93,65.46
2/1/1991,343.05,65.46
2/4/1991,348.34,69.28
2/5/1991,351.26,70.68
2/6/1991,358.07,75.86
2/7/1991,356.52,75.7
2/8/1991,359.35,76.91
2/11/1991,368.58,81.33
2/12/1991,365.5,80.12
2/13/1991,369.02,82.13
2/14/1991,364.22,79.52
2/15/1991,369.06,81.53
2/19/1991,369.39,81.53
2/20/1991,365.14,78.71
2/21/1991,364.97,77.11
2/22/1991,365.65,77.31
2/25/1991,367.26,78.92
2/26/1991,362.81,76.91
2/27/1991,367.74,79.92
2/28/1991,367.07,82.29
3/1/1991,370.47,84.31
3/4/1991,369.33,84.1
3/5/1991,376.72,87.73
3/6/1991,376.17,88.13
3/7/1991,375.91,87.3
3/8/1991,374.95,86.72
3/11/1991,372.96,85.51
3/12/1991,370.03,85.31
3/13/1991,374.57,86.72
3/14/1991,373.5,86.12
3/15/1991,373.59,84.48
3/18/1991,372.11,85.92
3/19/1991,366.59,82.49
3/20/1991,367.92,81.49
3/21/1991,366.58,78.67
3/22/1991,367.48,80.08
3/25/1991,369.83,81.89
3/26/1991,376.3,83.3
3/27/1991,375.35,84.31
3/28/1991,375.22,84.31
4/1/1991,371.3,82.02
4/2/1991,379.5,85.08
4/3/1991,378.94,84.91
4/4/1991,379.77,85.31
4/5/1991,375.36,83.3
4/8/1991,378.66,85.11
4/9/1991,373.56,82.7
4/10/1991,373.15,82.09
4/11/1991,377.63,83.7
4/12/1991,380.4,84.48
4/15/1991,381.19,84.51
4/16/1991,387.62,87.53
4/17/1991,390.45,88.53
4/18/1991,388.46,88.73
4/19/1991,384.2,88.51
4/22/1991,380.95,86.72
4/23/1991,381.76,86.72
4/24/1991,382.76,87.12
4/25/1991,379.25,84.91
4/26/1991,379.02,85.51
4/29/1991,373.66,83.3
4/30/1991,375.35,84.27
5/1/1991,380.29,86.23
5/2/1991,380.52,86.46
5/3/1991,380.8,86.23
5/6/1991,380.08,86.46
5/7/1991,377.32,85.45
5/8/1991,378.51,86.44
5/9/1991,383.25,87.25
5/10/1991,375.74,84.62
5/13/1991,376.76,84.41
5/14/1991,371.62,81.17
5/15/1991,368.57,80.97
5/16/1991,372.19,81.78
5/17/1991,372.39,82.59
5/20/1991,372.28,81.17
5/21/1991,375.35,82.19
5/22/1991,376.19,83
5/23/1991,374.97,81.58
5/24/1991,377.49,83.4
5/28/1991,381.94,85.4
5/29/1991,382.79,86
5/30/1991,386.96,87.42
5/31/1991,389.83,90.04
6/3/1991,388.06,91.06
6/4/1991,387.74,91.87
6/5/1991,385.09,91.46
6/6/1991,383.63,90.65
6/7/1991,379.43,89.43
6/10/1991,378.57,88.82
6/11/1991,381.05,89.23
6/12/1991,376.65,86.99
6/13/1991,377.63,87.2
6/14/1991,382.29,87.8
6/17/1991,380.13,86.38
6/18/1991,378.59,85.57
6/19/1991,375.09,83.33
6/20/1991,375.42,83.54
6/21/1991,377.75,83.54
6/24/1991,370.94,79.88
6/25/1991,370.65,80.49
6/26/1991,371.59,80.04
6/27/1991,374.4,81.1
6/28/1991,371.16,80.28
7/1/1991,377.92,83.54
7/2/1991,377.47,81.3
7/3/1991,373.33,79.07
7/5/1991,374.08,79.63
7/8/1991,377.94,81.71
7/9/1991,376.11,81.5
7/10/1991,375.74,81.71
7/11/1991,376.97,81.34
7/12/1991,380.25,83.37
7/15/1991,382.39,83.57
7/16/1991,381.54,84.38
7/17/1991,381.18,83.77
7/18/1991,385.37,84.38
7/19/1991,384.22,84.18
7/22/1991,382.88,82.56
7/23/1991,379.42,81.71
7/24/1991,378.64,79.92
7/25/1991,380.96,80.28
7/26/1991,380.93,78.86
7/29/1991,383.15,78.86
7/30/1991,386.69,80.89
7/31/1991,387.81,82.32
8/1/1991,387.12,80.32
8/2/1991,387.18,80.97
8/5/1991,385.06,77.73
8/6/1991,390.62,80.73
8/7/1991,390.56,80.57
8/8/1991,389.32,77.94
8/9/1991,387.12,77.13
8/12/1991,388.02,77.94
8/13/1991,389.62,78.9
8/14/1991,389.9,76.92
8/15/1991,389.33,76.32
8/16/1991,385.58,73.48
8/19/1991,376.47,65.99
8/20/1991,379.43,68.22
8/21/1991,390.59,74.49
8/22/1991,391.33,75.91
8/23/1991,394.17,78.5
8/26/1991,393.85,77.13
8/27/1991,393.06,76.52
8/28/1991,396.64,80.16
8/29/1991,396.47,79.76
8/30/1991,395.43,78.54
9/3/1991,392.15,76.92
9/4/1991,389.97,74.7
9/5/1991,389.14,72.67
9/6/1991,389.1,72.67
9/9/1991,388.57,71.81
9/10/1991,384.56,67.41
9/11/1991,385.09,67.21
9/12/1991,387.34,69.43
9/13/1991,383.59,65.99
9/16/1991,385.78,67.21
9/17/1991,385.5,65.72
9/18/1991,386.94,65.79
9/19/1991,387.56,66.4
9/20/1991,387.92,66.73
9/23/1991,385.92,65.11
9/24/1991,387.71,66.13
9/25/1991,386.88,64.1
9/26/1991,386.49,64.1
9/27/1991,385.9,63.49
9/30/1991,387.86,65.18
10/1/1991,389.2,65.38
10/2/1991,388.26,63.77
10/3/1991,384.47,60.93
10/4/1991,381.24,58.91
10/7/1991,379.5,56.28
10/8/1991,380.67,56.88
10/9/1991,376.8,54.05
10/10/1991,380.55,55.47
10/11/1991,381.45,56.48
10/14/1991,386.47,59.51
10/15/1991,391.01,64.37
10/16/1991,392.8,65.99
10/17/1991,391.92,66.6
10/18/1991,392.5,65.59
10/21/1991,390.02,62.96
10/22/1991,387.83,61.54
10/23/1991,387.94,61.94
10/24/1991,385.07,58.5
10/25/1991,384.2,57.69
10/28/1991,389.52,60.32
10/29/1991,391.48,62.35
10/30/1991,392.96,61.74
10/31/1991,392.46,63.16
11/1/1991,391.32,60.04
11/4/1991,390.28,59.84
11/5/1991,388.71,56.59
11/6/1991,389.97,59.23
11/7/1991,393.72,61.26
11/8/1991,392.89,60.85
11/11/1991,393.12,60.85
11/12/1991,396.74,64.5
11/13/1991,397.41,64.5
11/14/1991,397.15,62.88
11/15/1991,382.62,51.02
11/18/1991,385.24,52.03
11/19/1991,379.42,45.64
11/20/1991,378.53,45.23
11/21/1991,380.06,45.23
11/22/1991,376.14,42.6
11/25/1991,375.34,41.06
11/26/1991,377.96,43.7
11/27/1991,376.55,42.89
11/29/1991,375.22,40.89
12/2/1991,381.4,44.22
12/3/1991,380.96,45.05
12/4/1991,380.07,45.66
12/5/1991,377.4,41.62
12/6/1991,379.09,41.62
12/9/1991,378.26,40.61
12/10/1991,377.9,41.01
12/11/1991,377.7,40.61
12/12/1991,381.55,43.23
12/13/1991,384.47,45.25
12/16/1991,384.46,45.05
12/17/1991,382.74,42.42
12/18/1991,383.48,44.04
12/19/1991,382.52,42.22
12/20/1991,387.04,45.25
12/23/1991,396.82,52.73
12/24/1991,399.33,55.76
12/26/1991,404.84,59.8
12/27/1991,406.46,63.43
12/30/1991,415.14,69.29
12/31/1991,417.09,71.72
1/2/1992,417.26,72.62
1/3/1992,419.34,73.23
1/6/1992,417.96,72.82
1/7/1992,417.4,72.97
1/8/1992,418.1,75.46
1/9/1992,417.61,75.86
1/10/1992,415.1,74.44
1/13/1992,414.34,73.43
1/14/1992,420.44,77.73
1/15/1992,420.77,79.96
1/16/1992,418.21,82.39
1/17/1992,418.86,82.59
1/20/1992,416.36,80.16
1/21/1992,412.64,77.33
1/22/1992,418.13,79.72
1/23/1992,414.96,78.14
1/24/1992,415.48,76.88
1/27/1992,414.99,78.95
1/28/1992,414.96,78.54
1/29/1992,410.34,76.11
1/30/1992,411.63,76.72
1/31/1992,408.79,75.2
2/3/1992,409.53,75.81
2/4/1992,413.85,76.81
2/5/1992,413.84,77.82
2/6/1992,413.82,77.22
2/7/1992,411.09,77.02
2/10/1992,413.77,78.23
2/11/1992,413.76,78.83
2/12/1992,417.13,81.05
2/13/1992,413.69,78.27
2/14/1992,412.48,77.87
2/18/1992,407.38,75.05
2/19/1992,408.26,74.45
2/20/1992,413.9,77.91
2/21/1992,411.46,75.95
2/24/1992,412.27,76.95
2/25/1992,410.45,74.95
2/26/1992,415.35,76.75
2/27/1992,413.86,76.6
2/28/1992,412.7,77.15
3/2/1992,412.45,76.55
3/3/1992,412.85,76.75
3/4/1992,409.33,75.35
3/5/1992,406.51,74.15
3/6/1992,404.44,72.14
3/9/1992,405.21,72.75
3/10/1992,406.89,73.55
3/11/1992,404.03,69.14
3/12/1992,403.89,70.14
3/13/1992,405.84,69.14
3/16/1992,406.39,70.14
3/17/1992,409.58,71.34
3/18/1992,409.15,72.14
3/19/1992,409.8,73.29
3/20/1992,411.3,73.75
3/23/1992,409.91,72.34
3/24/1992,408.88,72.69
3/25/1992,407.52,69.54
3/26/1992,407.86,70.14
3/27/1992,403.5,67.13
3/30/1992,403,66.33
3/31/1992,403.69,67.94
4/1/1992,404.23,67.33
4/2/1992,400.5,63.93
4/3/1992,401.55,64.13
4/6/1992,405.59,66.73
4/7/1992,398.06,61.52
4/8/1992,394.5,56.11
4/9/1992,400.64,60.52
4/10/1992,404.29,64.13
4/13/1992,406.08,63.93
4/14/1992,412.39,69.34
4/15/1992,416.28,72.34
4/16/1992,416.05,74.55
4/20/1992,410.16,69.08
4/21/1992,410.26,67.13
4/22/1992,409.81,65.79
4/23/1992,411.6,66.6
4/24/1992,409.02,66.6
4/27/1992,408.45,65.79
4/28/1992,409.11,66
4/29/1992,412.02,66.8
4/30/1992,414.95,70.82
5/1/1992,412.53,69.42
5/4/1992,416.91,72.43
5/5/1992,416.84,72.64
5/6/1992,416.79,72.29
5/7/1992,415.85,72.29
5/8/1992,416.05,72.09
5/11/1992,418.49,72.49
5/12/1992,416.29,70.28
5/13/1992,416.45,70.88
5/14/1992,413.14,67.47
5/15/1992,410.09,64.26
5/18/1992,412.81,66.4
5/19/1992,416.37,69.08
5/20/1992,415.39,68.27
5/21/1992,412.6,65.86
5/22/1992,414.02,67.27
5/26/1992,411.41,64.46
5/27/1992,412.17,65.66
5/28/1992,416.74,68.67
5/29/1992,415.35,68.47
6/1/1992,417.3,69.22
6/2/1992,413.5,67.14
6/3/1992,414.59,66.53
6/4/1992,413.26,65.73
6/5/1992,413.48,65.59
6/8/1992,413.36,65.12
6/9/1992,410.06,62.17
6/10/1992,407.25,59.15
6/11/1992,409.05,60.56
6/12/1992,409.76,62.58
6/15/1992,410.29,62.17
6/16/1992,408.32,60.97
6/17/1992,402.26,54.93
6/18/1992,400.96,54.12
6/19/1992,403.67,55.33
6/22/1992,403.4,54.73
6/23/1992,404.04,53.92
6/24/1992,403.83,54.93
6/25/1992,403.12,53.92
6/26/1992,403.45,55.13
6/29/1992,408.94,59.36
6/30/1992,408.14,59.07
7/1/1992,412.88,63.03
7/2/1992,411.77,62.22
7/6/1992,413.84,61.82
7/7/1992,409.16,58.47
7/8/1992,410.28,58.06
7/9/1992,414.23,61.69
7/10/1992,414.62,62.1
7/13/1992,414.87,62.9
7/14/1992,417.68,64.52
7/15/1992,417.1,64.31
7/16/1992,417.54,63.91
7/17/1992,415.62,63.71
7/20/1992,413.75,62.7
7/21/1992,413.76,62.3
7/22/1992,410.93,60.89
7/23/1992,412.08,61.9
7/24/1992,411.6,62.5
7/27/1992,411.54,60.89
7/28/1992,417.52,65.73
7/29/1992,422.23,69.76
7/30/1992,423.92,71.77
7/31/1992,424.21,70.91
8/3/1992,425.09,70.3
8/4/1992,424.36,69.9
8/5/1992,422.19,69.29
8/6/1992,420.59,69.09
8/7/1992,418.88,68.08
8/10/1992,419.42,68.02
8/11/1992,418.9,65.79
8/12/1992,417.78,64.85
8/13/1992,417.73,63.64
8/14/1992,419.91,64.24
8/17/1992,420.74,64.85
8/18/1992,421.34,66.26
8/19/1992,418.18,62.96
8/20/1992,418.26,62.96
8/21/1992,414.85,61.41
8/24/1992,410.72,55.87
8/25/1992,411.61,55.35
8/26/1992,413.51,58.79
8/27/1992,413.53,59.6
8/28/1992,414.84,61.41
8/31/1992,414.03,60.2
9/1/1992,416.07,60.61
9/2/1992,417.98,63.84
9/3/1992,417.98,64.37
9/4/1992,417.08,62.02
9/8/1992,414.44,57.78
9/9/1992,416.36,59.8
9/10/1992,419.95,63.03
9/11/1992,419.58,62.22
9/14/1992,425.27,69.9
9/15/1992,419.77,63.64
9/16/1992,419.92,64.24
9/17/1992,419.93,63.23
9/18/1992,422.93,65.66
9/21/1992,422.14,63.84
9/22/1992,417.14,59.6
9/23/1992,417.44,59.8
9/24/1992,418.47,61.01
9/25/1992,414.35,57.98
9/28/1992,416.62,58.79
9/29/1992,416.8,58.99
9/30/1992,417.8,60.2
10/1/1992,416.29,57.78
10/2/1992,410.47,54.05
10/5/1992,407.57,49.8
10/6/1992,407.18,49.6
10/7/1992,404.25,47.17
10/8/1992,407.75,50
10/9/1992,402.66,46.15
10/12/1992,407.44,49.8
10/13/1992,409.3,50.81
10/14/1992,409.37,50.2
10/15/1992,409.6,50.61
10/16/1992,411.73,52.83
10/19/1992,414.98,57.89
10/20/1992,415.48,59.31
10/21/1992,415.67,58.7
10/22/1992,414.9,57.89
10/23/1992,414.1,59.51
10/26/1992,418.16,62.75
10/27/1992,418.49,62.75
10/28/1992,420.13,64.37
10/29/1992,420.86,64.98
10/30/1992,418.68,62.55
11/2/1992,422.75,64.78
11/3/1992,419.92,63.56
11/4/1992,417.11,63.77
11/5/1992,418.34,63.97
11/6/1992,417.58,63.56
11/9/1992,418.59,62.96
11/10/1992,418.62,63.36
11/11/1992,422.2,65.59
11/12/1992,422.87,65.99
11/13/1992,422.43,65.99
11/16/1992,420.68,64.57
11/17/1992,419.27,64.37
11/18/1992,422.85,67
11/19/1992,423.61,68.02
11/20/1992,426.65,70.24
11/23/1992,425.12,69.84
11/24/1992,427.59,70.45
11/25/1992,429.19,72.47
11/27/1992,430.16,73.89
11/30/1992,431.35,74.49
12/1/1992,430.78,74.85
12/2/1992,429.89,74.09
12/3/1992,429.91,73.89
12/4/1992,432.06,75.3
12/7/1992,435.31,76.72
12/8/1992,436.99,77.73
12/9/1992,435.65,76.77
